osm_id,name,operator,geojson
270413628,,,"{""type"":""Point"",""coordinates"":[120.145432885938,30.2869128876905]}"
4866184470,,,"{""type"":""Point"",""coordinates"":[120.145944206997,30.2895476892136]}"
5025793701,仓基新村,,"{""type"":""Point"",""coordinates"":[120.142765518364,30.2951379626855]}"
5025793702,仓基新村,,"{""type"":""Point"",""coordinates"":[120.142619811625,30.2960345982838]}"
5023911105,大关桥,,"{""type"":""Point"",""coordinates"":[120.135733236826,30.3073788900559]}"
5023911104,大关桥,,"{""type"":""Point"",""coordinates"":[120.1358357346,30.3075906906323]}"
5023911099,长乐路,,"{""type"":""Point"",""coordinates"":[120.141110282622,30.3080902931085]}"
5023911098,长乐路,,"{""type"":""Point"",""coordinates"":[120.141240179012,30.3084015157791]}"
4921975623,大关西六苑,,"{""type"":""Point"",""coordinates"":[120.146060269332,30.3062251078791]}"
4921975612,大关北,,"{""type"":""Point"",""coordinates"":[120.142818069809,30.3108120814297]}"
4921975611,大关北,,"{""type"":""Point"",""coordinates"":[120.143115681662,30.3108793186334]}"
5023911103,丽水路锦鸿街口,,"{""type"":""Point"",""coordinates"":[120.134409748918,30.3132962599609]}"
5023911102,丽水路锦鸿街口,,"{""type"":""Point"",""coordinates"":[120.13453623171,30.3139856736768]}"
4432679213,拱宸桥西,,"{""type"":""Point"",""coordinates"":[120.131709862331,30.3192930662909]}"
5023911101,登云路新昌路口,,"{""type"":""Point"",""coordinates"":[120.139904653679,30.3157966605279]}"
4921975614,上塘路绍兴路口,,"{""type"":""Point"",""coordinates"":[120.142457396222,30.3146591075439]}"
4921975613,上塘路绍兴路口,,"{""type"":""Point"",""coordinates"":[120.1427670455,30.3144409632478]}"
5023911100,登云路新昌路口,,"{""type"":""Point"",""coordinates"":[120.141491707292,30.3159453192475]}"
4921975616,绍兴新村,,"{""type"":""Point"",""coordinates"":[120.144157996886,30.3157170966135]}"
4921975615,绍兴新村,,"{""type"":""Point"",""coordinates"":[120.145191059463,30.3155072522953]}"
4427428635,河坊街荷花池头,,"{""type"":""Point"",""coordinates"":[120.155672242872,30.2419627532794]}"
4427428634,河坊街荷花池头,,"{""type"":""Point"",""coordinates"":[120.156543249372,30.2418814997521]}"
4427429086,钱王祠,,"{""type"":""Point"",""coordinates"":[120.15426449299,30.2445866550933]}"
5034020805,吴山广场,,"{""type"":""Point"",""coordinates"":[120.159819764539,30.2450483198425]}"
5034020806,吴山广场,,"{""type"":""Point"",""coordinates"":[120.159987300339,30.2462098056776]}"
5051334871,红门局西,,"{""type"":""Point"",""coordinates"":[120.158060503886,30.2469398887645]}"
5034020851,延安路饮马井巷,,"{""type"":""Point"",""coordinates"":[120.159574973624,30.2491928841408]}"
5034020850,延安路饮马井巷,,"{""type"":""Point"",""coordinates"":[120.159878334695,30.2494571128112]}"
5034020852,解百商店,,"{""type"":""Point"",""coordinates"":[120.159440765321,30.2519586751457]}"
5034020872,解放路吴山路口,,"{""type"":""Point"",""coordinates"":[120.160978052266,30.2526674537861]}"
5034020853,延安路湖滨,,"{""type"":""Point"",""coordinates"":[120.159622045345,30.254502075689]}"
4564520989,,,"{""type"":""Point"",""coordinates"":[120.158830809243,30.2561460130668]}"
5034020854,延安路湖滨,,"{""type"":""Point"",""coordinates"":[120.159342848955,30.2554042038927]}"
5034020870,井亭桥,,"{""type"":""Point"",""coordinates"":[120.161768479885,30.2542845735587]}"
5034020871,井亭桥,,"{""type"":""Point"",""coordinates"":[120.162047676275,30.254654163942]}"
5034020860,龙翔桥,,"{""type"":""Point"",""coordinates"":[120.161173256177,30.2563116002494]}"
5034020873,官巷口,,"{""type"":""Point"",""coordinates"":[120.164256004738,30.252950218876]}"
5034020874,官巷口,,"{""type"":""Point"",""coordinates"":[120.164890574655,30.2528061205222]}"
1253600990,,,"{""type"":""Point"",""coordinates"":[120.172742029901,30.2399008951474]}"
4772970439,茅廊巷,"30, 591","{""type"":""Point"",""coordinates"":[120.171386112811,30.2505497936377]}"
5034020876,浙医二院,,"{""type"":""Point"",""coordinates"":[120.168951768223,30.2529094802676]}"
5034020875,浙医二院,,"{""type"":""Point"",""coordinates"":[120.171044034351,30.253116199432]}"
5034020877,葵巷,,"{""type"":""Point"",""coordinates"":[120.176386045851,30.2525278556823]}"
5034020878,葵巷,,"{""type"":""Point"",""coordinates"":[120.178082604097,30.2519725652076]}"
3889984054,,,"{""type"":""Point"",""coordinates"":[120.158149347268,30.2568941793646]}"
3889984053,,,"{""type"":""Point"",""coordinates"":[120.15829990491,30.2573661838576]}"
5034020862,胜利剧院,,"{""type"":""Point"",""coordinates"":[120.159208910146,30.2573945056069]}"
5034020863,胜利剧院,,"{""type"":""Point"",""coordinates"":[120.159415881987,30.2586176870091]}"
